,NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
6,"ALTON, UT US",0.580833333,0.656666667,0.490909091,0.564166667,0.510833333,0.556666667,0.623333333,0.445833333,0.421666667,0.443333333,0.456666667,0.505833333,0.735,0.778333333,0.629166667,0.406666667,0.545454545,0.471666667,1.073636364,0.633333333,0.628333333,0.474166667,0.600833333,0.899166667,0.689166667,0.519166667,0.476666667,0.686666667,0.3675,0.598333333,0.691666667
39,"BLACK ROCK, UT US",0.245833333,0.404166667,0.403333333,0.18,0.308333333,0.454166667,0.558333333,0.275,0.443333333,0.2525,0.295833333,0.285,0.419166667,0.299166667,0.450833333,0.256666667,0.360833333,0.235,0.495833333,0.476363636,0.300833333,0.365,0.473333333,0.3425,0.2575,0.318333333,0.344166667,0.399166667,0.245,0.4875,0.375
46,"BLANDING, UT US",0.52,0.539166667,0.545,0.4325,0.519166667,0.615,0.409166667,0.263333333,0.365833333,0.395,0.264166667,0.545,0.504166667,0.413636364,0.510833333,0.533333333,0.62,0.449166667,0.563333333,0.320833333,0.336666667,0.588333333,0.4525,0.643333333,0.405,0.2175,0.246666667,0.36,0.304166667,0.3875,0.314166667
49,"BLUFF, UT US",0.385454545,0.305,0.220833333,0.276666667,0.34,0.314166667,0.218181818,0.22,0.284166667,0.475,0.21,0.3025,0.345833333,0.268333333,0.3725,0.3775,0.295833333,0.157272727,0.3575,0.181666667,0.249166667,0.545,0.259166667,0.6425,0.3525,0.1375,0.218333333,0.256666667,0.204166667,0.254166667,0.313333333
54,"BOULDER, UT US",0.45,0.396363636,0.305,0.3175,0.325833333,0.4625,0.393333333,0.364166667,0.285,0.43,0.261666667,0.454166667,0.541666667,0.523333333,0.52,0.365,0.355833333,0.4675,0.561666667,0.5,0.405833333,0.610833333,0.290833333,0.678333333,0.643333333,0.43,0.274166667,0.465833333,0.280833333,0.465,0.36
60,"BOUNTIFUL BENCH, UT US",0.7,0.875,0.775,0.805,0.879166667,0.9,0.988333333,0.7,0.7,0.821666667,0.5875,0.639166667,0.8175,0.805,0.778333333,0.725833333,0.66,0.751666667,0.6625,0.774166667,0.7525,0.613333333,0.74,0.8625,0.8425,0.768333333,0.741666667,0.6375,0.4375,0.809166667,0.68
85,"CALLAO, UT US",0.173333333,0.3425,0.243333333,0.285,0.307272727,0.404166667,0.38,0.168333333,0.325,0.209166667,0.235,0.2175,0.3375,0.304166667,0.201666667,0.210833333,0.198333333,0.295833333,0.2825,0.385833333,0.185,0.280833333,0.243333333,0.261666667,0.2825,0.244166667,0.198333333,0.4175,0.17,0.220833333,0.315833333
88,"CANYONLANDS THE NECK, UT US",0.301818182,0.389166667,0.246,0.306,0.389090909,0.35,0.356666667,0.436666667,0.246666667,0.351666667,0.2675,0.458181818,0.331666667,0.355,0.424166667,0.485,0.367272727,0.216,0.375833333,0.299166667,0.33,0.327,0.4275,0.58,0.400909091,0.286363636,0.379090909,0.403636364,0.218888889,0.4525,0.4725
143,"DEER CREEK DAM, UT US",0.646666667,0.812727273,0.574166667,0.531666667,1.035,0.808333333,0.561666667,0.668333333,0.741818182,0.424545455,0.634166667,0.545833333,0.6825,0.854166667,0.7375,0.515,0.64,0.6175,0.886666667,0.695833333,0.5775,0.335833333,0.7325,0.6,0.47,0.729166667,0.570833333,0.724166667,0.303333333,0.700833333,0.67
148,"DESERET, UT US",0.2725,0.243636364,0.329090909,0.324166667,0.314166667,0.37,0.4425,0.330833333,0.37,0.205833333,0.225833333,0.325454545,0.341666667,0.281666667,0.358333333,0.413333333,0.335,0.2725,0.353333333,0.314166667,0.286666667,0.295833333,0.44,0.253333333,0.235833333,0.271666667,0.300833333,0.315833333,0.128333333,0.3775,0.238333333
163,"ECHO DAM, UT US",0.423333333,0.469166667,0.390833333,0.558333333,0.458333333,0.464166667,0.46,0.385,0.478333333,0.519166667,0.4175,0.4175,0.47,0.430833333,0.466666667,0.496666667,0.3975,0.4875,0.543333333,0.475,0.328333333,0.3975,0.563333333,0.5225,0.450833333,0.519166667,0.439166667,0.405833333,0.266666667,0.494166667,0.516666667
175,"EPHRAIM, UT US",0.4525,0.453333333,0.3675,0.431666667,0.505833333,0.408333333,0.465,0.490833333,0.429090909,0.375,0.3875,0.393333333,0.3425,0.3825,0.405,0.329166667,0.379,0.2825,0.426666667,0.3375,0.369166667,0.398,0.4925,0.32,0.267,0.275,0.0775,0.1475,0.101428571,0.15,0.225
176,"ESCALANTE, UT US",0.458333333,0.388333333,0.310833333,0.279166667,0.2575,0.481666667,0.411666667,0.305833333,0.26,0.363333333,0.198333333,0.335454545,0.73,0.486666667,0.490833333,0.374166667,0.3125,0.306666667,0.510833333,0.626666667,0.3825,0.526666667,0.229166667,0.546666667,0.555,0.399166667,0.313333333,0.43,0.280833333,0.436666667,0.2275
221,"HANS FLAT RANGER STATION, UT US",0.356666667,0.360833333,0.269166667,0.228333333,0.317272727,0.388333333,0.449166667,0.336666667,0.325,0.4075,0.208333333,0.215833333,0.311666667,0.379166667,0.360833333,0.4675,0.555,0.255,0.459166667,0.35,0.281666667,0.503333333,0.33,0.666666667,0.43,0.315833333,0.295833333,0.2975,0.241666667,0.355,0.4125
270,"JENSEN, UT US",0.2725,0.370833333,0.2525,0.3675,0.37,0.380833333,0.335,0.320833333,0.331666667,0.24,0.245833333,0.2025,0.308333333,0.32,0.26,0.343636364,0.365,0.42,0.411666667,0.31,0.153333333,0.345,0.2975,0.334545455,0.508333333,0.183636364,0.1925,0.333333333,0.223333333,0.4525,0.310833333
