NAME,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ALTON,3.65,2.154193548,2.619032258,1.270967742,0.761935484,0.516129032,1.230322581,2.005483871,1.613225806,1.727741935,1.332,2.761333333
BLACK_ROCK,0.611935484,0.771612903,0.810322581,0.875806452,0.739032258,0.398666667,0.579354839,0.765862069,0.646129032,0.866451613,0.594516129,0.729354839
BLANDING,1.998064516,1.314193548,1.289032258,0.946666667,0.757741935,0.308387097,1.014516129,1.191935484,1.233225806,1.211935484,0.808,1.350322581
BLUFF,0.776774194,0.623333333,0.561290323,0.318666667,0.409666667,0.217,0.587096774,0.909677419,0.836129032,0.683870968,0.436129032,0.598064516
BOULDER,1.994516129,1.100322581,1.500645161,0.659354839,0.630666667,0.418064516,1.116451613,1.569032258,1.624,1.34483871,0.55,1.265806452
BOUNTIFUL_BENCH,4.135483871,3.669677419,5.154193548,4.208387097,2.672903226,1.216774194,0.686774194,1.06,1.270967742,2.33483871,2.839032258,3.302580645
CALLAO,0.652903226,0.478064516,0.547741935,0.742258065,0.880967742,0.390645161,0.376451613,0.453225806,0.497741935,0.595,0.392333333,0.416451613
CANYONLANDS_THE_NECK,0.66,0.590666667,0.979,0.648709677,0.73,0.356666667,0.847333333,1.180322581,0.895806452,1.112666667,0.761612903,0.842758621
DEER_CREEK_DAM,3.932903226,2.489310345,1.591034483,1.528666667,1.717096774,0.965806452,0.573,1.096129032,1.274137931,1.986774194,1.987096774,3.454516129
DESERET,0.856451613,0.979333333,1.201935484,0.893666667,0.796,0.413870968,0.362903226,0.509677419,0.631290323,0.878709677,0.615517241,0.965806452
ECHO_DAM,2.185483871,1.72,2.163548387,1.543870968,1.671290323,1.024193548,0.677096774,0.81483871,1.077741935,1.467741935,1.745806452,1.881935484
EPHRAIM,1.243666667,0.918333333,1.415806452,0.957741935,0.958214286,0.581290323,0.509666667,0.782758621,0.939677419,0.991935484,0.980645161,1.591111111
ESCALANTE,1.773225806,0.872333333,0.989032258,0.417096774,0.515806452,0.377419355,1.051333333,1.518387097,1.253225806,1.128709677,0.47483871,0.823225806
HANS_FLAT_RANGER_STATION,1.227419355,0.822258065,1.844333333,0.882580645,0.618709677,0.338387097,0.821935484,1.151290323,0.926774194,1.062258065,0.978387097,0.912258065
JENSEN,0.870322581,0.597666667,0.518064516,0.683225806,0.852,0.449032258,0.447,0.614516129,1.062903226,1.053548387,0.610322581,0.86
KAMAS,3.100967742,2.401290323,2.371785714,1.492916667,1.766428571,0.846896552,0.889310345,1.100344828,1.355483871,1.739333333,1.929333333,2.106071429
KANAB,1.962580645,1.790967742,1.446129032,1.014333333,0.468064516,0.249032258,1.135483871,1.438,1.427741935,1.427741935,0.933548387,1.556129032
MANTI,1.508064516,1.127419355,1.439354839,1.925483871,1.252903226,0.795666667,0.645806452,0.806451613,0.964516129,1.159032258,1.223225806,1.546129032
NEPHI,1.718064516,1.567741935,1.623870968,1.574666667,1.353448276,0.704333333,0.49,0.777,0.861290323,1.409677419,1.208666667,1.505862069
PROVO_BYU,2.811935484,2.056129032,2.11,1.923548387,1.716129032,0.759354839,0.454516129,0.761612903,1.092258065,1.744193548,1.388064516,2.445806452
RICHMOND,2.594516129,2.397096774,3.129677419,2.35,2.308709677,1.120689655,0.513225806,0.800645161,1.278387097,1.87,1.662333333,1.920967742
SALT_LAKE_CITY_INTERNATIONAL_AIRPORT,1.942258065,2.090645161,2.258387097,2.198064516,1.605806452,0.83,0.467741935,0.605806452,0.874516129,1.255483871,1.480322581,1.779354839
TOOELE,2.35,2.249354839,3.168064516,2.419677419,2.135483871,0.921612903,0.714516129,0.738387097,0.914193548,1.556129032,1.525483871,2.315666667
WANSHIP_DAM,2.278333333,1.94516129,2.29,2.074,1.68,0.959032258,0.812258065,1.049354839,1.330322581,1.756,1.962903226,1.809666667
WOODRUFF,0.897096774,1.151612903,1.307333333,0.890967742,1.363793103,0.852258065,0.547419355,0.86516129,1.018709677,1.16516129,0.878709677,0.931612903
ZION_NATIONAL_PARK,1.802258065,2.027096774,1.899666667,1.18,0.668064516,0.213333333,0.991290323,1.403225806,1.081290323,1.264,1.076774194,1.726129032
