,NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
6,ALTON,1.6675,2.084166667,1.191818182,7.15,1.081666667,1.475833333,1.879166667,1.096666667,1.266666667,1.141666667,0.945833333,1.2025,1.7825,2.114166667,6.466666667,0.891666667,1.45,0.9925,2.44,1.258333333,1.424166667,1.340833333,1.324166667,2.029166667,1.709166667,1.264166667,1.193333333,2.125833333,0.639166667,1.564166667,1.494166667
39,BLACK_ROCK,0.6,0.919166667,0.991666667,0.341666667,0.633333333,1.023333333,1.1175,0.52,0.878333333,0.506666667,0.473333333,0.557,0.865833333,0.715833333,0,0.488333333,0.635833333,0.515,1.0925,1.144545455,0.550833333,0.674166667,0.908333333,0.679166667,0.57,0.733333333,0.780833333,0.888333333,0.3925,0.940833333,0.560833333
46,BLANDING,1.2775,1.473333333,1.224166667,2.208333333,1.036666667,1.6725,1.185833333,0.825833333,1.2325,1.0325,0.6575,1.04,1.2825,1.393636364,1.833333333,1.1075,1.408333333,0.945833333,1.400833333,0.805833333,0.681666667,1.126666667,0.758333333,1.663333333,0.8725,0.590833333,0.709166667,1.23,0.4775,0.894166667,0.7025
49,BLUFF,0.924545455,0.8975,0.475,0.083333333,0.518333333,0.79,0.426363636,0.53,0.623333333,0.75,0.476363636,0.546666667,0.74,0.62,0.4,0.630833333,0.616666667,0.299090909,0.765833333,0.388333333,0.539166667,0.758333333,0.39,1.291666667,0.6825,0.354166667,0.408333333,0.641666667,0.310833333,0.471666667,0.67
54,BOULDER,1.181666667,1.302727273,0.725833333,2.583333333,0.680833333,1.243333333,1.0875,1.005,0.749166667,0.938333333,0.543333333,0.785,1.228333333,1.394166667,4.536363636,0.771666667,0.7525,0.805,1.655,1.0125,0.814166667,1.4425,0.7925,1.5375,1.275,0.903333333,0.725833333,1.193333333,0.461666667,0.9375,0.815833333
60,BOUNTIFUL_BENCH,1.791666667,2.673333333,2.474166667,7.583333333,2.653333333,2.43,3.194166667,2.118333333,2.069166667,2.189166667,1.535,1.995,2.279166667,2.6825,11.50833333,1.874166667,1.923333333,2.441666667,2.7575,2.908333333,1.934166667,1.901666667,1.960833333,2.490833333,2.461666667,2.218333333,2.0825,2.695,1.255833333,2.106666667,1.9025
85,CALLAO,0.398333333,0.6425,0.473333333,0.583333333,0.585454545,0.883333333,0.892727273,0.3925,0.538333333,0.374166667,0.345,0.515,0.590833333,0.761666667,0.125,0.323333333,0.298333333,0.6325,0.673333333,0.805,0.47,0.576666667,0.465833333,0.574166667,0.600833333,0.514166667,0.4575,0.908333333,0.2475,0.475833333,0.510833333
88,CANYONLANDS_THE_NECK,0.628181818,0.925833333,0.543,0.54,0.714545455,0.838181818,0.861666667,0.934166667,0.654166667,0.766666667,0.628333333,0.668181818,0.8425,0.718333333,2.075,0.848333333,0.769090909,0.317,0.8775,0.7675,0.545,0.758333333,0.815,1.285833333,0.7125,0.558333333,0.729090909,0.936363636,0.468333333,0.893333333,1.061666667
143,DEER_CREEK_DAM,1.584166667,2.389090909,1.713333333,1.9,2.798333333,2.106666667,2.131666667,1.664166667,2.1,1.197272727,1.318333333,1.606666667,1.815,2.585833333,5.372727273,1.46,1.747,1.9,2.471666667,1.8125,1.415,1.0925,1.7825,1.369166667,1.488333333,2.304166667,1.495,2.140833333,0.7825,1.815,1.476666667
148,DESERET,0.5125,0.654545455,0.670909091,1.458333333,0.640833333,0.888181818,1.095833333,0.649166667,0.888333333,0.479166667,0.400833333,0.650909091,0.7075,0.8425,2.45,0.694166667,0.639166667,0.554166667,0.980833333,0.7875,0.671666667,0.659166667,0.679090909,0.5675,0.5175,0.730833333,0.681666667,0.81,0.2675,0.745,0.516666667
