NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ALTON,20.01,25.01,13.11,85.8,12.98,17.71,22.55,13.16,15.2,13.7,11.35,14.43,21.39,25.37,77.6,10.7,15.95,11.91,26.84,15.1,17.09,16.09,15.89,24.35,20.51,15.17,14.32,25.51,7.67,18.77,17.93
BLACK_ROCK,7.2,11.03,11.9,4.1,7.6,12.28,13.41,6.24,10.54,6.08,5.68,5.57,10.39,8.59,0,5.86,7.63,6.18,13.11,12.59,6.61,8.09,10.9,8.15,6.84,8.8,9.37,10.66,4.71,11.29,6.73
BLANDING,15.33,17.68,14.69,26.5,12.44,20.07,14.23,9.91,14.79,12.39,7.89,12.48,15.39,15.33,22,13.29,16.9,11.35,16.81,9.67,8.18,13.52,9.1,19.96,10.47,7.09,8.51,13.53,5.73,10.73,8.43
BLUFF,10.17,10.77,5.7,1,6.22,9.48,4.69,6.36,7.48,9,5.24,6.56,8.88,7.44,4.8,7.57,7.4,3.29,9.19,4.66,6.47,9.1,4.68,15.5,8.19,4.25,4.9,7.7,3.73,5.66,8.04
BOULDER,14.18,14.33,8.71,31,8.17,14.92,13.05,12.06,8.99,11.26,6.52,9.42,14.74,16.73,49.9,9.26,9.03,9.66,19.86,12.15,9.77,17.31,9.51,18.45,15.3,10.84,8.71,14.32,5.54,11.25,9.79
BOUNTIFUL_BENCH,21.5,32.08,29.69,91,31.84,29.16,38.33,25.42,24.83,26.27,18.42,23.94,27.35,32.19,138.1,22.49,23.08,29.3,33.09,34.9,23.21,22.82,23.53,29.89,29.54,26.62,24.99,32.34,15.07,25.28,22.83
CALLAO,4.78,7.71,5.68,7,6.44,10.6,9.82,4.71,6.46,4.49,4.14,6.18,7.09,9.14,1.5,3.88,3.58,7.59,8.08,9.66,5.64,6.92,5.59,6.89,7.21,6.17,5.49,10.9,2.97,5.71,6.13
CANYONLANDS_THE_NECK,6.91,11.11,5.43,5.4,7.86,9.22,10.34,11.21,7.85,9.2,7.54,7.35,10.11,8.62,24.9,10.18,8.46,3.17,10.53,9.21,6.54,9.1,9.78,15.43,8.55,6.7,8.02,10.3,5.62,10.72,12.74
DEER_CREEK_DAM,19.01,26.28,20.56,19,33.58,25.28,25.58,19.97,23.1,13.17,15.82,19.28,21.78,31.03,59.1,17.52,17.47,22.8,29.66,21.75,16.98,13.11,21.39,16.43,17.86,27.65,17.94,25.69,9.39,21.78,17.72
DESERET,6.15,7.2,7.38,17.5,7.69,9.77,13.15,7.79,10.66,5.75,4.81,7.16,8.49,10.11,29.4,8.33,7.67,6.65,11.77,9.45,8.06,7.91,7.47,6.81,6.21,8.77,8.18,9.72,3.21,8.94,6.2
ECHO_DAM,9.82,16.33,12.97,47.1,16.54,15.89,18.89,13.36,15.41,13.53,11.14,13.22,14.58,15.33,90.3,11.45,12,17.6,18.77,17.01,9.92,12.86,18.28,15.28,16.45,17.1,12.44,15.42,8.63,15.1,14.46
EPHRAIM,12.51,15.94,12.98,0,15.48,14.76,15.93,13.21,11.81,11.27,10.41,12.22,11.45,13.94,50,9.39,7.36,8.27,12.05,9.39,9.73,6.83,9.36,8.87,6.68,8.45,7.65,8.7,4.49,6.58,8.81
ESCALANTE,14.5,12.54,8.12,23,5.51,13.68,12.28,10.93,9.16,9.95,4.79,6.31,14.46,13.64,21.1,7.88,8.31,7.16,17.22,14.01,8.73,14.48,7.44,14.54,12.41,9.68,8.62,12.91,5.21,9.84,6.7
HANS_FLAT_RANGER_STATION,8.37,9.69,7.65,38.9,8.65,11.9,10.71,10.25,10.01,10.9,7.1,5.62,9.76,10.33,41.2,11.67,11.89,6.45,14.16,9.36,7.16,11.67,8.3,19.09,8.69,7.41,7.69,10.19,5.12,8.56,8.89
JENSEN,8.55,10.64,8.89,5.8,8.76,12.4,10.67,8.75,7.82,6.21,5.83,5.67,8.01,8.98,16.6,9.07,7.36,8.65,11.02,8.83,4.56,8.92,8.36,8.81,12.24,4.84,5.08,10.2,4.48,9.84,9.44
KAMAS,13.05,19.77,16.58,91.2,19.58,16.35,17.85,15.69,15.12,12.79,11.91,15.67,16.56,16.07,93.6,13.77,14.45,15.56,15.23,11.35,13.12,15.25,14.72,15.02,12.81,13.43,14.04,16.44,9.05,16.62,12.93
KANAB,17.97,19.58,10.38,27.5,16.53,26.66,24.22,12.19,14.93,14.75,10.31,16.15,15.92,17.8,14.2,8.92,11.82,8.56,18.7,10.87,10.26,10.72,12.25,19.3,15.97,10.5,15.19,18.22,4.73,12.72,10.07
MANTI,11.7,14.73,12.22,52,12.91,14.85,16.49,13.73,12.72,13.16,10.21,11.17,13.03,12.84,21.9,11.26,10.98,12.49,16.92,15.62,13.25,13.04,14.43,15.09,12.05,10.63,11.14,13.71,8.4,13.13,9.62
NEPHI,14.5,17.35,17.28,17.5,14.97,17.87,19.55,14.15,16.76,11.2,11.29,13.17,13.05,18.03,42.6,11.25,10.97,11.52,14.35,12.37,10.55,8.42,9.27,11.52,10.84,13.66,14.45,19.5,7.2,11.96,11.06
PROVO_BYU,17.9,23.94,18.48,44.5,21.81,20.25,22.87,17.65,17.29,11.91,10.65,16.7,18.62,23.08,66,15.45,12.73,19.5,21.62,19.89,12.99,13.02,16.9,15.72,14.35,15.03,13.53,17.06,7.29,17.68,12.76
RICHMOND,14.47,19.74,15.75,54,24.01,22.29,26.71,20.06,19.1,14,13.83,16.52,21.64,26.94,56.9,15.23,18.56,15.69,19.87,26.36,18.01,13.01,21,20.08,26.87,25.85,15.15,25.95,14.48,15.48,16.53
SALT_LAKE_CITY_INTERNATIONAL_AIRPORT,12.1,18.89,15.29,40.2,17.33,16.95,23.81,13.54,16.37,15.07,10.3,15.96,14.9,16.9,56.3,13.4,11.77,15.88,18.72,19.16,12.68,11.66,14.47,16.17,14.89,16.03,13.23,20.12,8.99,15.37,12.59
TOOELE,12.85,20.75,19.61,52.4,21.43,26.75,26.69,15.96,18.46,17.37,13.59,15.5,17.79,23.22,82.1,17.28,17.83,16.07,22.31,19.94,15,19.18,15.41,17.69,16.16,17.88,13.14,20.2,7.66,16.08,12.65
WANSHIP_DAM,8.07,19.66,14.96,58.4,19.45,16.87,17.19,14.41,15.02,11.41,12.95,16.29,18.34,17.29,90.4,14.23,14.56,17.78,22.15,20.52,13.62,13.7,20.55,16.7,16.17,19,10.63,20.21,9.14,15.87,14.9
