NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"ABRAHAM 2.5 N, UT US",,,,,,,,,,,,,,,,,2.12,3.17,6.58,9.57,4.31,6.69,6.82,6.86,,,,,,,
"AGUA CANYON, UT US",,,7.5,0.0,24.05,30.36,35.55,21.27,22.17,20.67,14.59,14.76,35.27,28.05,0.0,16.19,21.45,14.65,33.93,20.87,17.46,24.36,18.27,29.38,22.439999999999998,17.68,21.47,28.47,9.07,21.46,18.18
"ALLEN S RANCH, UT US",5.76,4.91,6.85,13.0,9.200000000000001,11.33,7.66,12.0,9.32,7.37,,,,,,,,,,,,,,,,,,,,,
"ALPINE, UT US",,13.05,20.36,40.5,22.31,21.34,25.22,19.53,19.57,15.44,12.379999999999999,20.18,20.94,30.12,97.4,17.2,16.73,24.78,27.35,24.48,18.78,17.79,22.62,20.18,20.11,18.61,15.09,29.310000000000002,13.600000000000001,18.509999999999998,16.72
"ALTA, UT US",31.5,49.71,37.67,521.6,41.050000000000004,40.26,48.74,42.68,45.42,30.99,25.74,32.739999999999995,29.29,38.06,530.1,34.03,61.35,56.07,69.39,55.06,50.45,48.19,62.76,49.17,52.35,55.54,44.76,65.49,37.910000000000004,53.37,47.129999999999995
"ALTAMONT, UT US",8.44,11.63,7.819999999999999,11.0,10.3,15.13,11.219999999999999,8.96,,4.93,5.66,8.57,11.44,9.72,31.0,6.43,9.49,9.49,11.85,2.06,4.78,8.03,9.16,11.69,10.67,10.89,7.75,12.88,4.22,8.35,7.69
"ALTON, UT US",20.01,25.009999999999998,13.11,85.8,12.98,17.71,22.55,13.16,15.2,13.7,11.350000000000001,14.43,21.39,25.37,77.6,10.7,15.95,11.91,26.84,15.1,17.09,16.09,15.89,24.35,20.509999999999998,15.17,14.32,25.51,7.67,18.77,17.93
"AMERICAN FORK 1.1 ESE, UT US",,,,,,,,,,,,,,,,,,,,,,6.88,15.45,13.5,12.58,10.63,10.53,18.91,7.14,14.64,10.08
"AMERICAN FORK 1.4 NW, UT US",,,,,,,,,,,,,,,,,3.8899999999999997,11.76,,,,,,,,,,,,,
"ANETH PLANT, UT US",7.0600000000000005,11.35,7.17,0.0,4.4,4.5,10.85,5.29,7.180000000000001,4.94,1.98,5.25,7.33,7.26,0.0,8.31,1.12,,,,,,,,,,,,,,
"ANGLE, UT US",10.43,9.3,8.68,20.5,7.9399999999999995,12.36,9.780000000000001,8.41,8.35,7.32,6.99,7.03,8.58,8.89,26.0,9.52,5.18,3.67,8.69,6.37,4.6899999999999995,0.56,7.98,7.5600000000000005,8.6,7.3100000000000005,6.99,10.86,3.78,9.43,6.59
"AQUA CANYON BRYCE CANYON NP., UT US",0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARAGONITE UTAH, UT US",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARCHES NATIONAL PARK HQS, UT US",7.82,12.89,6.67,2.5,8.16,9.93,9.49,9.17,6.16,9.02,5.49,6.2,8.11,8.6,7.5,9.81,6.27,3.23,9.59,7.51,3.87,8.28,12.07,13.09,8.25,7.87,6.59,9.62,3.8899999999999997,8.71,9.56
"ASSAY HATCH 10 SW, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BADGER SPRING IVINS 14 W UTAH, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BARNEY RESERVOIR ESCALANTE 1, UT US",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"BARTHOLOMEW POWERHOU, UT US",25.14,32.65,15.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEAR LAKE STATE PARK, UT US",12.93,16.63,11.68,0.0,16.78,11.69,17.8,10.59,11.91,9.209999999999999,7.6,5.74,11.52,16.41,62.8,8.379999999999999,9.209999999999999,3.86,13.8,12.28,10.67,11.27,19.11,13.0,18.16,1.62,0.43,3.59,5.39,,
"BEAR RIVER BAY, UT US",8.74,15.43,8.620000000000001,0.0,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEAR RIVER CITY 2.3 WNW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,23.73,7.8999999999999995,11.99,12.26
"BEAR RIVER RANGER STATION, UT US",,,,,,,,,,,,,,,,,,,8.39,28.87,17.64,22.04,24.25,17.94,24.439999999999998,27.14,18.13,26.84,16.15,24.75,24.73
"BEAR RIVER UTAH, UT US",,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BEAVER 0.5 WNW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,4.140000000000001,4.43,11.530000000000001,8.379999999999999
"BEAVER 0.8 E, UT US",,,,,,,,,,,,,,,,,,,,,,,,5.5600000000000005,14.25,11.03,11.86,17.34,5.78,13.66,11.8
"BEAVER 15 E, UT US",,,,,,,,,,,,,,,,,,,,3.17,21.39,24.12,7.79,,,,,,,,
"BEAVER CANYON POWER HOUSE, UT US",18.150000000000002,19.31,19.55,102.6,20.84,24.85,24.62,18.6,19.21,19.86,10.95,20.38,18.81,25.23,125.5,11.51,10.559999999999999,16.5,27.630000000000003,4.51,12.44,22.32,13.51,12.57,19.66,14.24,16.53,26.45,9.61,10.76,
"BEAVER DAMS, UT US",23.93,27.1,24.55,0.0,27.51,31.0,32.12,25.83,22.259999999999998,27.28,20.18,25.22,27.37,29.15,0.0,24.06,23.16,26.65,34.35,28.84,22.05,27.08,26.33,23.66,25.54,22.76,23.990000000000002,29.46,16.56,23.16,23.48
"BEAVER DIVIDE, UT US",24.15,30.85,25.72,0.0,36.94,29.419999999999998,29.740000000000002,28.68,26.94,21.84,21.259999999999998,23.42,26.43,32.230000000000004,0.0,21.54,24.82,29.25,36.76,31.87,23.94,23.44,32.07,20.759999999999998,28.64,31.48,21.74,32.45,19.55,30.869999999999997,26.259999999999998
"BEN LOMOND PEAK, UT US",41.54,67.56,52.65,0.0,77.49,53.53,77.09,49.55,59.66,51.07,43.68,48.269999999999996,60.27,79.03,0.0,44.05,55.45,67.86,67.03999999999999,61.269999999999996,50.45,32.54,52.260000000000005,41.45,61.22,62.46,39.98,73.17,32.58,48.480000000000004,45.980000000000004
"BEN LOMOND TRAIL, UT US",33.98,47.67,41.55,0.0,59.14,29.650000000000002,47.82,33.37,40.75,38.36,30.55,34.37,43.17,56.67,0.0,30.759999999999998,39.63,49.05,49.21,45.88,37.76,20.77,43.87,34.36,47.47,53.8,28.47,51.17,23.560000000000002,33.86,33.69
"BENSON 1.0 SSW, UT US",,,,,,,,,,,,,,,,,,3.66,12.85,,,,,,,,,,,,
"BEVANS CABIN, UT US",,,,,,,,,,,,,,,,,,,,,8.69,29.1,29.66,29.2,31.96,30.669999999999998,22.27,39.49,17.06,31.58,27.28
"BIG FLAT, UT US",30.36,33.44,30.04,0.0,36.94,41.45,44.24,28.66,32.26,31.01,19.55,30.130000000000003,32.13,38.72,0.0,28.93,30.64,31.33,48.230000000000004,32.06,30.55,32.14,26.95,34.46,33.71,31.44,33.05,46.660000000000004,17.07,39.57,25.79
"BIG INDIAN VALLEY LASAL 6 S U, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
