NAME,1,2,3,4,5,6,7,8,9,10,11,12
"ABRAHAM 2.5 N, UT US",0.26142857142857145,0.16714285714285712,0.1442857142857143,0.33,0.3983333333333334,0.35166666666666674,0.27999999999999997,0.24428571428571427,0.4228571428571429,0.36000000000000004,0.15142857142857144,0.14
"AGUA CANYON, UT US",0.7321428571428571,0.7607142857142858,0.6749999999999999,0.5,0.37142857142857144,0.31428571428571433,0.85,0.9214285714285715,0.8178571428571428,0.7275862068965517,0.696551724137931,0.7310344827586207
"ALLEN S RANCH, UT US",0.1888888888888889,0.235,0.3622222222222222,0.41,0.5740000000000001,0.22,0.27666666666666667,0.3057142857142857,0.5599999999999999,0.5957142857142858,0.288,0.19428571428571426
"ALPINE, UT US",0.6585714285714286,0.6272413793103448,0.6403448275862069,0.7351724137931035,0.749,0.487,0.37310344827586206,0.4583333333333333,0.5393333333333333,0.6660714285714286,0.6143333333333333,0.7196666666666667
"ALTA, UT US",1.3412903225806452,1.2590322580645161,1.2666666666666668,1.3517241379310345,1.1441935483870966,0.7317241379310344,0.643,0.8425806451612904,0.9806666666666667,1.0953333333333333,1.1666666666666667,1.315357142857143
"ALTAMONT, UT US",0.23357142857142857,0.22964285714285712,0.2507142857142857,0.36620689655172417,0.3955172413793104,0.3427586206896552,0.2927586206896552,0.4357142857142858,0.5020689655172415,0.42333333333333334,0.22,0.32249999999999995
"ALTON, UT US",0.6316666666666666,0.7864516129032257,0.6161290322580646,0.3709677419354839,0.32193548387096776,0.22483870967741934,0.5267741935483871,0.6461290322580645,0.63,0.7577419354838709,0.7493333333333333,0.7696666666666666
"AMERICAN FORK 1.1 ESE, UT US",0.5111111111111111,0.3655555555555556,0.4488888888888889,0.44125000000000003,0.54,0.2866666666666667,0.31900000000000006,0.42000000000000004,0.426,0.377,0.389,0.526
"AMERICAN FORK 1.4 NW, UT US",1.06,0.31,0.24,1.52,0.57,0.22,,,,,0.79,0.78
"ANETH PLANT, UT US",0.19166666666666665,0.37999999999999995,0.2057142857142857,0.215,0.196,0.07923076923076923,0.15923076923076923,0.556923076923077,0.42615384615384616,0.42416666666666664,0.16909090909090907,0.24749999999999997
"ANGLE, UT US",0.1752,0.20333333333333334,0.21571428571428572,0.24703703703703703,0.26285714285714284,0.24777777777777776,0.44555555555555554,0.46642857142857147,0.4503448275862069,0.442,0.22310344827586207,0.18500000000000003
"AQUA CANYON BRYCE CANYON NP., UT US",,,,,,,,,,,,
"ARAGONITE UTAH, UT US",,,,,,,,,,,,
"ARCHES NATIONAL PARK HQS, UT US",0.28225806451612906,0.29161290322580646,0.30516129032258066,0.3274193548387097,0.3313333333333333,0.24333333333333332,0.4196666666666667,0.43516129032258066,0.44870967741935486,0.4706666666666667,0.2648387096774194,0.2986666666666667
"ASSAY HATCH 10 SW, UT US",,,,,,,,,,,,
"BADGER SPRING IVINS 14 W UTAH, UT US",,,,,,,,,,,,
"BARNEY RESERVOIR ESCALANTE 1, UT US",,,,,,,,,,,,
"BARTHOLOMEW POWERHOU, UT US",0.53,0.7333333333333334,0.68,0.5566666666666666,1.1266666666666667,0.4566666666666667,0.37,0.71,0.52,0.935,1.48,0.67
"BEAR LAKE STATE PARK, UT US",0.4852941176470588,0.4326315789473685,0.3845454545454546,0.4319047619047619,0.5333333333333333,0.3815,0.2495,0.3769565217391304,0.45500000000000007,0.5326315789473683,0.3890909090909091,0.5522222222222222
"BEAR RIVER BAY, UT US",0.45999999999999996,0.29000000000000004,0.4033333333333333,0.5466666666666666,0.3133333333333333,0.62,0.83,0.3,0.32,1.1933333333333334,0.33999999999999997,0.19666666666666668
"BEAR RIVER CITY 2.3 WNW, UT US",0.5225,0.26249999999999996,0.57,0.354,0.472,0.25999999999999995,0.27799999999999997,0.564,0.652,0.546,0.634,0.48599999999999993
"BEAR RIVER RANGER STATION, UT US",0.6166666666666667,0.4583333333333333,0.5416666666666666,0.6,0.525,0.4166666666666667,0.3666666666666667,0.5833333333333334,0.6166666666666667,0.4583333333333333,0.6384615384615385,0.47692307692307695
"BEAR RIVER UTAH, UT US",,,,,,,,,,,,
"BEAVER 0.5 WNW, UT US",0.16666666666666666,0.6533333333333333,0.37666666666666665,0.3733333333333333,0.023333333333333334,0.20333333333333337,0.53,0.5466666666666667,0.24,0.3933333333333333,0.4325,0.3825
"BEAVER 0.8 E, UT US",0.3242857142857143,0.5242857142857142,0.4442857142857143,0.4657142857142857,0.24714285714285714,0.18875,0.62,0.41375,0.28375,0.4125,0.4625,0.40125
"BEAVER 15 E, UT US",0.4066666666666667,0.5166666666666667,0.54,0.6633333333333333,0.38000000000000006,0.01,0.755,0.5900000000000001,1.04,0.8833333333333333,0.4566666666666667,0.4033333333333333
"BEAVER CANYON POWER HOUSE, UT US",0.5648148148148148,0.6288888888888889,0.6366666666666667,0.6803846153846155,0.5775862068965517,0.39517241379310347,0.7403703703703705,0.5684615384615385,0.46807692307692306,0.735,0.6065217391304348,0.7067999999999999
"BEAVER DAMS, UT US",0.5387096774193548,0.6096774193548387,0.6161290322580646,0.6741935483870968,0.6387096774193549,0.4096774193548387,0.5548387096774193,0.5129032258064516,0.7064516129032258,0.7483870967741936,0.7032258064516129,0.7774193548387097
"BEAVER DIVIDE, UT US",0.7645161290322581,0.5870967741935483,0.5645161290322581,0.5709677419354838,0.6096774193548387,0.4612903225806451,0.4451612903225806,0.5516129032258065,0.6322580645161291,0.5451612903225806,0.6903225806451613,0.7612903225806452
"BEN LOMOND PEAK, UT US",2.029032258064516,1.8193548387096774,1.3483870967741935,1.3161290322580643,1.5483870967741935,0.9903225806451613,0.6225806451612903,0.7258064516129032,0.8612903225806451,1.6612903225806452,1.5806451612903225,2.4645161290322584
"BEN LOMOND TRAIL, UT US",1.3838709677419354,1.235483870967742,0.996774193548387,1.0,1.1451612903225807,0.7838709677419355,0.5870967741935483,0.5064516129032258,0.6935483870967742,1.3193548387096774,1.2483870967741937,1.6161290322580646
"BENSON 1.0 SSW, UT US",,,,,0.46,0.3,0.0,0.64,0.33,0.38,,
"BEVANS CABIN, UT US",0.6799999999999999,0.8699999999999999,1.2,1.34,0.77,0.4,0.41000000000000003,0.79,0.85,0.6545454545454545,0.9454545454545454,1.0727272727272725
