NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"ABRAHAM 2.5 N, UT US",,,,,,,,,,,,,,,,,2.0,10.0,8.0,12.0,11.0,12.0,11.0,10.0,,,,,,,
"AGUA CANYON, UT US",,,3.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"ALLEN S RANCH, UT US",11.0,5.0,8.0,12.0,11.0,11.0,10.0,12.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,
"ALPINE, UT US",,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"ALTA, UT US",12.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,11.0,10.0,12.0,11.0,12.0,11.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"ALTAMONT, UT US",12.0,12.0,11.0,12.0,12.0,12.0,12.0,9.0,,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,4.0,12.0,12.0,12.0,11.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0
"ALTON, UT US",12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"AMERICAN FORK 1.1 ESE, UT US",,,,,,,,,,,,,,,,,,,,,,6.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0
"AMERICAN FORK 1.4 NW, UT US",,,,,,,,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,
"ANETH PLANT, UT US",11.0,10.0,11.0,11.0,9.0,9.0,12.0,11.0,11.0,11.0,10.0,10.0,12.0,11.0,12.0,12.0,2.0,,,,,,,,,,,,,,
"ANGLE, UT US",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,9.0,10.0,12.0,10.0,10.0,9.0,6.0,6.0,3.0,10.0,8.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0
"AQUA CANYON BRYCE CANYON NP., UT US",0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARAGONITE UTAH, UT US",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARCHES NATIONAL PARK HQS, UT US",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0
"ASSAY HATCH 10 SW, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BADGER SPRING IVINS 14 W UTAH, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BARNEY RESERVOIR ESCALANTE 1, UT US",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"BARTHOLOMEW POWERHOU, UT US",12.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEAR LAKE STATE PARK, UT US",12.0,12.0,11.0,9.0,11.0,10.0,11.0,10.0,12.0,10.0,9.0,8.0,10.0,9.0,12.0,11.0,10.0,5.0,8.0,10.0,10.0,10.0,12.0,12.0,12.0,2.0,2.0,5.0,7.0,,
"BEAR RIVER BAY, UT US",8.0,12.0,8.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEAR RIVER CITY 2.3 WNW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,12.0,12.0,12.0
"BEAR RIVER RANGER STATION, UT US",,,,,,,,,,,,,,,,,,,2.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"BEAR RIVER UTAH, UT US",,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BEAVER 0.5 WNW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,12.0,12.0
"BEAVER 0.8 E, UT US",,,,,,,,,,,,,,,,,,,,,,,,6.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"BEAVER 15 E, UT US",,,,,,,,,,,,,,,,,,,,3.0,12.0,12.0,5.0,,,,,,,,
