NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"ABRAHAM 2.5 N, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGUA CANYON, UT US",,,,,,,,,,,,,,,35.6,35.96666666666667,34.550000000000004,35.233333333333334,35.041666666666664,34.375,37.15,35.00833333333333,37.083333333333336,37.141666666666666,36.96666666666667,37.574999999999996,36.78333333333333,34.61666666666667,37.449999999999996,37.24166666666667,36.05
"ALLEN S RANCH, UT US",30.46,27.28333333333333,34.14,29.816666666666666,28.5,38.275,25.975,31.900000000000002,30.0,34.25,,,,,,,,,,,,,,,,,,,,,
"ALPINE, UT US",,39.1,36.53333333333333,38.73636363636364,38.81666666666667,38.50833333333333,39.583333333333336,38.86666666666667,40.00833333333333,39.775,37.166666666666664,39.77272727272727,38.49166666666667,39.025,38.57272727272727,38.85454545454545,38.82727272727273,37.291666666666664,35.31,37.208333333333336,40.208333333333336,37.11666666666667,39.766666666666666,40.86666666666667,39.983333333333334,40.291666666666664,40.300000000000004,38.324999999999996,38.9,40.4,38.708333333333336
"ALTA, UT US",30.675,27.558333333333334,30.7,29.866666666666664,29.400000000000002,29.083333333333332,29.175,29.383333333333336,30.708333333333332,30.8,27.891666666666666,32.71,30.99090909090909,29.733333333333334,28.027272727272727,30.560000000000002,20.444444444444443,28.308333333333334,22.525,24.981818181818184,30.78333333333333,28.39090909090909,30.266666666666666,31.65833333333333,31.241666666666664,31.28333333333333,30.549999999999997,28.691666666666663,30.325,30.2,28.972727272727273
"ALTAMONT, UT US",29.683333333333334,27.816666666666666,30.727272727272727,31.45,31.241666666666664,28.974999999999998,31.508333333333336,34.32222222222222,,37.099999999999994,30.0,32.525,30.841666666666665,31.108333333333334,29.4,30.95,31.11818181818182,29.675,29.954545454545453,28.866666666666664,33.44166666666667,30.016666666666666,31.272727272727273,33.44166666666667,33.3125,31.958333333333332,30.075000000000003,27.150000000000002,27.566666666666666,31.458333333333332,28.441666666666666
"ALTON, UT US",31.266666666666666,25.839999999999996,32.82727272727273,31.650000000000002,32.80833333333333,32.0,30.8,31.733333333333334,31.6,32.074999999999996,31.75,33.075,31.441666666666666,32.24166666666667,30.254545454545454,32.19166666666667,30.745454545454546,31.183333333333334,33.17272727272727,30.991666666666664,33.175000000000004,32.449999999999996,34.141666666666666,36.60909090909091,34.65833333333333,34.266666666666666,33.53333333333334,31.266666666666666,33.49166666666667,33.95,32.625
"AMERICAN FORK 1.1 ESE, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMERICAN FORK 1.4 NW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ANETH PLANT, UT US",,31.950000000000003,,,,,,,,,,,,,,47.9,21.5,,,,,,,,,,,,,,
"ANGLE, UT US",26.59166666666667,26.208333333333332,27.083333333333332,27.45,27.25,27.833333333333332,27.7,26.641666666666666,28.599999999999998,28.454545454545453,24.536363636363635,26.9,26.608333333333334,27.76,27.97,25.481818181818184,25.236363636363638,26.925,27.339999999999996,28.3,40.4,18.933333333333334,26.38888888888889,21.95,28.666666666666668,28.016666666666666,26.675,25.208333333333332,24.974999999999998,26.358333333333334,23.69090909090909
"AQUA CANYON BRYCE CANYON NP., UT US",29.988888888888887,32.24166666666667,33.85,35.36363636363637,37.422222222222224,,35.4,34.40833333333333,35.324999999999996,34.833333333333336,34.4,35.733333333333334,34.06666666666667,34.43333333333333,33.625,34.28333333333333,32.800000000000004,33.516666666666666,31.145454545454548,32.699999999999996,36.199999999999996,33.824999999999996,35.84166666666667,36.025,35.85,36.61666666666667,35.858333333333334,35.25555555555556,36.358333333333334,19.033333333333335,34.975
"ARAGONITE UTAH, UT US",,,,,,59.21666666666667,43.28333333333333,37.0875,42.99166666666667,43.35833333333333,41.4,43.800000000000004,42.208333333333336,41.84166666666667,42.06666666666667,41.945454545454545,41.766666666666666,41.083333333333336,41.775,40.56666666666667,44.875,41.208333333333336,44.199999999999996,45.25,43.64166666666667,43.275,43.574999999999996,41.5,43.68333333333333,28.233333333333334,42.65833333333333
"ARCHES NATIONAL PARK HQS, UT US",43.49166666666667,43.083333333333336,43.89166666666666,42.84166666666667,43.65833333333333,42.1,43.225,42.46666666666667,44.93333333333334,43.98333333333333,43.38181818181818,43.81666666666666,43.30833333333334,43.736363636363635,41.733333333333334,41.86666666666667,41.725,37.711111111111116,44.291666666666664,43.88333333333333,46.525,43.1,45.525,45.94166666666666,47.60909090909092,45.481818181818184,49.13636363636363,46.72727272727273,43.4,55.724999999999994,46.87
"ASSAY HATCH 10 SW, UT US",37.6875,33.839999999999996,32.36363636363637,33.50833333333333,35.71818181818182,32.891666666666666,27.32,51.339999999999996,33.40833333333333,32.6,31.666666666666668,33.24166666666667,31.858333333333334,32.766666666666666,32.05833333333333,33.02727272727273,31.316666666666666,31.675,31.958333333333332,31.191666666666666,33.550000000000004,31.675,33.71666666666667,33.833333333333336,33.86666666666667,34.574999999999996,33.56666666666667,30.95,32.983333333333334,18.433333333333334,32.358333333333334
"BADGER SPRING IVINS 14 W UTAH, UT US",54.083333333333336,52.71666666666667,54.00833333333333,54.75833333333333,55.80833333333334,55.24166666666667,52.791666666666664,54.90833333333333,55.775,55.68333333333334,56.290909090909096,56.275,55.34444444444445,55.21666666666667,55.05833333333334,56.166666666666664,54.833333333333336,54.96666666666667,54.25,53.38333333333333,56.36666666666667,54.5,56.85,56.71666666666667,56.4,56.59166666666667,56.949999999999996,53.875,56.80833333333334,39.03333333333333,54.708333333333336
"BARNEY RESERVOIR ESCALANTE 1, UT US",38.2,37.489999999999995,40.49166666666667,40.525,42.075,23.35,,,,,,,,,,,,,,,,,,,,,,,,,
"BARTHOLOMEW POWERHOU, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEAR LAKE STATE PARK, UT US",36.9875,22.3,31.82,23.599999999999998,22.650000000000002,18.7,28.939999999999998,24.84,29.375,15.225,23.825000000000003,,30.575,28.26,36.644444444444446,28.639999999999997,22.5,36.4,35.349999999999994,42.6,39.3,37.175,36.333333333333336,37.05833333333333,33.84166666666667,55.2,53.05,42.75,49.8,,
"BEAR RIVER BAY, UT US",37.05,40.858333333333334,43.4,27.0,32.95,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEAR RIVER CITY 2.3 WNW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEAR RIVER RANGER STATION, UT US",,,,,,,,,,,,,,,,,,,,,,22.5125,23.758333333333336,24.641666666666666,24.258333333333336,24.34166666666667,23.358333333333334,21.90833333333333,22.116666666666664,24.349999999999998,21.791666666666668
"BEAR RIVER UTAH, UT US",,,,,,,,26.433333333333334,22.925,23.075,20.3,23.616666666666664,23.483333333333334,22.900000000000002,22.075,24.8375,20.158333333333335,21.191666666666666,22.150000000000002,21.033333333333335,23.96666666666667,17.857142857142858,23.641666666666666,24.458333333333332,23.875,24.0,23.083333333333332,21.666666666666668,21.88333333333333,7.599999999999999,21.233333333333334
"BEAVER 0.5 WNW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEAVER 0.8 E, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEAVER 15 E, UT US",,,,,,,,,,,,,,,,,,,,22.566666666666666,31.333333333333332,29.608333333333334,22.619999999999997,,,,,,,,
"BEAVER CANYON POWER HOUSE, UT US",,,,,,33.041666666666664,32.225,31.583333333333332,33.554545454545455,33.15833333333333,32.458333333333336,33.59166666666667,32.654545454545456,32.80833333333333,32.324999999999996,32.480000000000004,30.900000000000002,31.641666666666666,32.675000000000004,32.28333333333334,37.611111111111114,35.77777777777778,32.324999999999996,47.425,34.00833333333333,33.455555555555556,33.86666666666667,29.077777777777776,33.95454545454545,29.03333333333333,
"BEAVER DAMS, UT US",,,,,,,,,,,,,28.05,32.45454545454545,30.558333333333334,31.266666666666666,29.291666666666668,30.108333333333334,30.808333333333334,29.641666666666666,32.266666666666666,29.958333333333332,32.025,32.61666666666667,32.225,32.46666666666667,31.541666666666668,29.991666666666664,30.96666666666667,31.849999999999998,31.533333333333335
"BEAVER DIVIDE, UT US",25.736363636363635,26.245454545454546,30.619999999999997,26.808333333333334,25.866666666666664,25.508333333333336,26.491666666666664,26.71666666666667,27.391666666666666,25.166666666666668,25.583333333333332,28.21666666666667,27.066666666666666,27.349999999999998,26.599999999999998,28.5,27.083333333333332,27.933333333333334,28.40833333333333,27.133333333333336,29.95,27.96666666666667,29.541666666666668,30.71666666666667,30.3,30.016666666666666,29.625,27.808333333333334,29.845454545454547,30.375,28.625
"BEN LOMOND PEAK, UT US",33.699999999999996,25.24285714285714,38.7,33.49166666666667,33.766666666666666,32.25833333333333,33.108333333333334,34.1,34.975,35.550000000000004,33.6,35.90833333333333,34.18333333333333,34.291666666666664,34.4,37.233333333333334,34.958333333333336,35.40833333333333,35.475,34.483333333333334,37.94166666666667,35.86666666666667,37.15833333333333,38.425000000000004,37.65833333333333,37.44166666666667,37.391666666666666,35.166666666666664,36.981818181818184,37.68333333333333,36.166666666666664
"BEN LOMOND TRAIL, UT US",,,,,,,,,,,,,37.34285714285714,32.84166666666667,32.2,32.93333333333333,31.133333333333336,31.741666666666664,32.49166666666667,31.433333333333334,33.93333333333333,31.833333333333332,33.75833333333333,34.24166666666667,33.4,32.85,35.975,34.6875,32.50833333333333,34.15,31.816666666666666
"BENSON 1.0 SSW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEVANS CABIN, UT US",,,,,,,,,,,,,,,,,,,,,,39.51,37.925000000000004,38.791666666666664,38.11666666666667,37.725,37.875,35.68333333333333,37.625,38.19166666666667,36.65
"BIG FLAT, UT US",26.736363636363638,24.35,26.036363636363635,24.96666666666667,23.536363636363635,24.433333333333334,23.566666666666666,25.108333333333334,25.741666666666664,25.666666666666668,24.608333333333334,31.71111111111111,27.191666666666666,27.583333333333332,27.175,27.766666666666666,26.025000000000002,26.46666666666667,26.34166666666667,25.599999999999998,28.441666666666666,26.483333333333334,28.224999999999998,28.683333333333334,27.875,28.666666666666668,27.483333333333334,25.275000000000002,28.141666666666666,27.88333333333333,25.56
"BIG INDIAN VALLEY LASAL 6 S U, UT US",40.86666666666667,39.644444444444446,41.733333333333334,41.4,41.63333333333333,40.125,40.525,39.21818181818182,41.93333333333333,41.85,40.75833333333333,42.44166666666666,40.708333333333336,41.6,40.733333333333334,41.725,39.81666666666667,40.50833333333333,40.475,39.416666666666664,42.85833333333333,40.016666666666666,42.225,42.73333333333333,42.43333333333333,43.64166666666667,42.86666666666667,40.80833333333333,42.71666666666667,25.333333333333332,41.31666666666667
"BIG WATER, UT US",41.29,44.127272727272725,42.85833333333333,36.480000000000004,38.8375,46.02727272727273,44.949999999999996,44.21666666666667,46.76666666666667,45.875,47.980000000000004,61.239999999999995,51.81111111111111,49.666666666666664,48.29,43.6,45.21818181818182,45.190909090909095,46.010000000000005,42.81666666666666,44.554545454545455,42.88333333333333,46.47272727272727,44.925000000000004,45.125,45.36363636363637,46.86363636363637,37.975,45.7375,44.90833333333333,41.60909090909091
"BIRDSEYE, UT US",16.866666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLACK CEDAR FILMORE 5 E UTAH, UT US",39.93333333333333,37.95454545454545,41.49090909090909,39.56666666666667,39.88333333333333,38.74166666666667,39.23636363636364,38.99166666666667,40.19166666666667,40.550000000000004,38.05833333333333,43.14,38.69166666666667,39.025,38.449999999999996,39.19166666666667,37.475,37.425000000000004,38.025,36.949999999999996,39.733333333333334,36.608333333333334,39.65833333333333,40.225,39.858333333333334,39.31666666666667,38.983333333333334,36.74166666666667,39.025,22.933333333333334,37.583333333333336
"BLACK FLAT U.M. CK, UT US",,,,,,,,,,,,,,,30.966666666666665,27.05,25.683333333333334,26.325,25.858333333333334,25.275000000000002,27.483333333333334,25.808333333333334,27.358333333333334,27.491666666666664,26.641666666666666,28.2,26.866666666666664,24.474999999999998,26.3,26.808333333333334,25.791666666666668
"BLACK ROCK, UT US",33.63333333333333,32.09166666666667,33.75,32.96666666666667,33.708333333333336,33.59166666666667,33.40833333333334,32.725,35.1,34.5,32.333333333333336,34.175000000000004,34.541666666666664,34.6,33.324999999999996,32.1,32.825,33.15,34.05833333333333,32.24166666666667,34.94166666666667,31.291666666666668,35.43333333333333,35.016666666666666,34.75833333333333,35.641666666666666,35.34166666666667,33.35,31.65833333333333,34.5,33.300000000000004
"BLACKS FORK COMMISSARY, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0249999999999998
"BLACKS FORK JCT, UT US",,,,,,,,,,,,,,,,,,,9.350000000000001,21.380000000000003,21.058333333333334,18.833333333333332,21.166666666666668,21.833333333333332,21.333333333333332,22.166666666666668,20.6,19.141666666666666,19.325,21.96666666666667,19.45
"BLACKTAIL UTAH, UT US",,,,,,,,,,,42.91428571428571,37.475,41.4125,36.68333333333333,36.199999999999996,37.300000000000004,40.766666666666666,35.708333333333336,35.416666666666664,34.425,38.5,35.358333333333334,37.541666666666664,38.35,37.516666666666666,35.111111111111114,38.0,35.03333333333334,37.375,20.933333333333334,18.7
"BLANDING 0.3 WSW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLANDING 26 SSW, UT US",,,,,,,,,,,,,,,,,,,35.9,40.11666666666667,41.35,39.80833333333333,30.939999999999998,,,,,,,,
"BLANDING 3.9 ENE, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLANDING, UT US",39.21666666666667,38.708333333333336,40.13333333333333,38.50833333333333,40.550000000000004,39.416666666666664,40.25833333333333,40.11666666666667,41.725,41.375,40.59166666666667,42.24166666666667,40.59166666666667,42.14545454545455,40.65,41.233333333333334,40.025,40.766666666666666,40.550000000000004,40.050000000000004,39.239999999999995,40.15,42.324999999999996,42.275,41.93333333333333,42.78333333333333,42.458333333333336,41.14545454545455,41.708333333333336,41.733333333333334,38.93
"BLOWHARD MOUNTAIN RADAR, UT US",28.283333333333335,27.849999999999998,29.541666666666668,29.389999999999997,31.46363636363636,33.67272727272727,29.70909090909091,30.974999999999998,32.949999999999996,29.06666666666667,29.224999999999998,28.188888888888886,28.380000000000003,26.372727272727275,12.65,,,,,,,,,,,,,,,,
"BLUFF 32 NW, UT US",,,,,,,,,,,,,,,,,,,38.75,39.391666666666666,42.275,39.71666666666666,33.239999999999995,,,,,,,,
"BLUFF, UT US",36.43636363636364,37.925000000000004,39.07272727272727,37.50833333333333,38.608333333333334,38.275,44.089999999999996,38.550000000000004,42.53333333333333,40.99166666666667,38.73636363636364,41.766666666666666,41.05,40.875,40.175,40.675000000000004,39.391666666666666,38.61818181818182,39.975,39.15,40.699999999999996,39.13333333333333,40.425000000000004,40.81666666666667,40.425000000000004,40.71666666666667,40.516666666666666,39.4,38.69166666666667,40.80833333333333,40.13333333333333
"BONANZA, UT US",33.55555555555556,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOTHWELL 0.9 ENE, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOTHWELL 2.6 WSW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOULDER 1.3 NNW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOULDER, UT US",37.31666666666667,35.52727272727273,38.96666666666667,38.49166666666667,38.916666666666664,37.925000000000004,37.275,37.93333333333333,36.733333333333334,37.225,36.96666666666667,39.416666666666664,39.38181818181818,39.25,38.26363636363636,39.054545454545455,37.583333333333336,37.90833333333334,37.975,37.63333333333333,40.59166666666667,38.18333333333333,40.416666666666664,40.40833333333333,40.13333333333333,41.141666666666666,40.75833333333333,38.71666666666667,40.36666666666667,40.425000000000004,38.13636363636363
"BOUNTIFUL 0.6 SW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOUNTIFUL 0.8 SE, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOUNTIFUL 1.3 S, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOUNTIFUL 1.7 NE, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOUNTIFUL 2.0 SW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOUNTIFUL BENCH, UT US",42.725,38.800000000000004,42.949999999999996,42.6,41.891666666666666,41.19166666666667,42.141666666666666,41.9,43.15833333333333,43.01666666666666,41.36666666666667,43.94166666666667,41.28333333333333,41.891666666666666,41.675000000000004,42.333333333333336,40.5,40.641666666666666,41.516666666666666,40.85,44.724999999999994,40.975,44.25,44.81666666666666,43.425000000000004,42.666666666666664,43.324999999999996,41.7,43.48333333333333,44.13333333333333,43.00833333333333
"BOUNTIFUL VAL VERDA, UT US",42.391666666666666,39.44166666666667,42.875,40.736363636363635,41.733333333333334,41.449999999999996,42.333333333333336,41.65833333333333,42.824999999999996,42.708333333333336,40.775,43.916666666666664,41.541666666666664,42.00833333333333,41.85,41.46666666666667,40.42727272727273,39.699999999999996,40.675000000000004,39.65,43.375,39.68333333333333,38.61666666666667,,,,,,,,
"BOX CREEK, UT US",,,,,,,,,,,,,,,31.839999999999996,31.816666666666666,30.03333333333333,30.925,31.75,31.058333333333334,31.01,32.325,34.00833333333333,34.574999999999996,34.28333333333333,34.9,33.96666666666667,31.641666666666666,34.375,34.28333333333333,33.025
"BRIAN HEAD, UT US",26.01,20.522222222222222,24.525,26.27777777777778,26.48,23.291666666666668,23.40833333333333,22.675,24.5,23.96666666666667,23.391666666666666,25.663636363636364,23.166666666666668,24.683333333333334,23.954545454545453,15.200000000000001,30.566666666666666,10.6,,27.925,31.558333333333334,29.849999999999998,31.616666666666664,31.958333333333332,31.7,31.983333333333334,31.224999999999998,29.141666666666666,31.583333333333332,31.541666666666668,30.416666666666668
"BRIGHAM CITY 0.6 W, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRIGHAM CITY 1.2 N, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRIGHAM CITY 28 WNW, UT US",,,,,,,,,,,,,,,,18.9,32.666666666666664,33.050000000000004,34.15833333333334,33.800000000000004,37.083333333333336,33.358333333333334,36.708333333333336,37.5,36.40833333333333,35.641666666666666,36.733333333333334,34.36666666666667,35.375,37.34166666666667,35.541666666666664
"BRIGHAM CITY WASTE PLANT, UT US",35.85,33.71666666666667,37.50833333333333,37.13333333333333,34.391666666666666,35.20909090909091,39.44166666666667,37.483333333333334,38.391666666666666,37.63333333333333,35.75833333333333,39.46666666666667,36.94166666666667,38.5,37.574999999999996,36.275,35.38181818181818,32.22222222222222,35.324999999999996,35.766666666666666,37.25833333333333,34.05833333333333,37.94166666666667,38.35,37.391666666666666,36.975,37.858333333333334,36.458333333333336,36.59166666666667,38.68333333333333,36.31666666666667
"BRIGHTON, UT US",,,,,,,,,,,,,,,30.3,30.925,27.966666666666665,29.28333333333333,29.474999999999998,28.633333333333336,31.78333333333333,29.116666666666664,30.816666666666666,30.69090909090909,31.875,31.391666666666666,30.90833333333333,29.21666666666667,30.741666666666664,31.458333333333332,29.825
"BRIMSTONE RES. MILFORD 20 WSW, UT US",40.166666666666664,38.654545454545456,40.15,39.800000000000004,39.90833333333333,38.916666666666664,38.416666666666664,38.766666666666666,40.291666666666664,39.983333333333334,38.733333333333334,40.89166666666667,39.199999999999996,39.458333333333336,38.49166666666667,39.225,38.38333333333333,38.525,38.875,37.61666666666667,40.800000000000004,36.958333333333336,40.59166666666667,41.31666666666667,40.391666666666666,40.84166666666667,40.541666666666664,38.40833333333334,39.300000000000004,24.166666666666668,38.94166666666667
"BROWN DUCK, UT US",19.991666666666667,16.314285714285713,23.22,19.14166666666667,19.316666666666666,18.849999999999998,18.933333333333334,20.025000000000002,20.858333333333334,21.766666666666666,22.425,24.433333333333334,24.516666666666666,24.375,23.525000000000002,25.099999999999998,22.141666666666666,23.441666666666666,23.55,22.65833333333333,25.766666666666666,23.450000000000003,24.7,26.03333333333333,25.391666666666666,25.458333333333332,24.675,22.96666666666667,22.93,27.441666666666666,26.291666666666668
"BRUIN POINT SUNNYSIDE 6 NNE U, UT US",28.816666666666666,27.172727272727272,28.34166666666667,29.354545454545452,28.191666666666666,26.4125,27.71666666666667,28.741666666666664,29.425,29.316666666666666,27.758333333333336,29.125,28.133333333333336,28.6625,28.025000000000002,29.058333333333334,26.46666666666667,27.541666666666668,27.45,26.891666666666666,30.466666666666665,27.766666666666666,29.108333333333334,30.041666666666668,29.508333333333336,30.099999999999998,29.375,27.066666666666666,29.24166666666667,12.600000000000001,23.98
"BRYCE CANYON AIRPORT, UT US",,,,,,,,,10.8,24.15833333333333,23.866666666666664,26.924999999999997,23.833333333333332,25.166666666666668,25.166666666666668,24.641666666666666,22.2,22.583333333333332,23.825,24.016666666666666,26.066666666666666,23.808333333333334,26.616666666666664,27.633333333333336,25.866666666666664,27.291666666666668,26.8,23.46666666666667,24.53333333333333,26.2,27.10909090909091
"BRYCE CANYON NATIONAL PARK HQRS, UT US",27.224999999999998,29.74,33.1625,27.241666666666664,29.080000000000002,26.816666666666666,25.90833333333333,27.266666666666666,28.52,23.04,30.43,28.99166666666667,26.566666666666666,27.616666666666664,28.58181818181818,28.52857142857143,28.885714285714283,31.733333333333334,31.958333333333332,31.483333333333334,33.46666666666667,31.358333333333334,33.25,33.05833333333333,33.25833333333333,32.824999999999996,33.65,29.97,27.416666666666668,28.46666666666667,27.458333333333332
"BRYCE CANYON UTAH, UT US",,,,,,,,,,,,30.67777777777778,25.066666666666666,26.666666666666668,25.608333333333334,25.40833333333333,24.224999999999998,24.808333333333334,25.608333333333334,24.900000000000002,27.133333333333336,27.072727272727274,27.40833333333333,27.349999999999998,26.541666666666668,27.383333333333336,27.03333333333333,24.608333333333334,25.808333333333334,12.066666666666668,25.966666666666665
