,NAME,LATITUDE,LONGITUDE,ELEVATION
113,"ALTON, UT US",37.4402,-112.4819,2163.5
148,"BLACK ROCK, UT US",38.7076,-112.9539,1498.4
143,"BLANDING, UT US",37.61322,-109.48484,1839.5
87,"BLUFF, UT US",37.2824,-109.5575,1316.4
196,"BOULDER, UT US",37.905,-111.42,2026.9
237,"BOUNTIFUL BENCH, UT US",40.891,-111.8504,1508.8
150,"CALLAO, UT US",39.8997,-113.7128,1323.4
169,"CANYONLANDS THE NECK, UT US",38.46,-109.8213,1789.5
40,"DEER CREEK DAM, UT US",40.4044,-111.5289,1606.3
209,"DESERET, UT US",39.28754,-112.6513,1399.6
111,"ECHO DAM, UT US",40.96554,-111.4336,1667.3
187,"EPHRAIM, UT US",39.35833,-111.59851,1675.8
206,"ESCALANTE, UT US",37.7686,-111.5977,1770.9
8,"HANS FLAT RANGER STATION, UT US",38.25495,-110.17991,2011.7
72,"JENSEN, UT US",40.36435,-109.34574,1449.3
97,"KAMAS, UT US",40.6438,-111.2822,1975.4
258,"KANAB, UT US",37.02872,-112.53606,1493.5
118,"MANTI, UT US",39.25826,-111.6307,1749.6
247,"NEPHI, UT US",39.71203,-111.83198,1568.5
89,"PROVO BYU, UT US",40.2458,-111.6508,1392.9
104,"RICHMOND, UT US",41.9063,-111.81,1426.5
207,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",40.77069,-111.96503,1288.4
280,"TOOELE, UT US",40.5352,-112.3218,1506.9
16,"WANSHIP DAM, UT US",40.7908,-111.4077,1810.5
68,"WOODRUFF, UT US",41.51479,-111.15948,1924.8
26,"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1230.8
