NAME,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ALTON,29.57333333,31.07096774,38.01935484,44.59032258,52.37741935,61.98333333,68.32333333,66.66206897,59.62,48.57741935,37.6862069,29.2
BLACK_ROCK,29.30645161,34.49354839,43.30645161,49.31612903,57.7483871,67.42580645,74.95483871,72.57741935,63.02258065,50.13225806,38.20322581,28.6483871
BLANDING,32.13870968,36.26451613,44.50967742,51.06666667,60.41666667,71.43225806,76.61290323,74.12333333,66.51724138,53.88387097,41.72,32.28064516
BLUFF,31.97666667,38.58333333,47.68387097,55.55172414,64.58333333,74.50666667,80.35333333,77.78709677,68.54516129,54.55862069,41.06774194,31.94516129
BOULDER,30.50967742,33.93870968,41.87741935,48.06774194,56.525,66.75,72.53225806,70.40967742,63.40666667,51.03666667,39.50333333,30.29677419
BOUNTIFUL_BENCH,30.38709677,34.31612903,43.03225806,48.78387097,58.36451613,68.43870968,77.38387097,75.07741935,65.4483871,52.01290323,39.61612903,30.73548387
CALLAO,27.64,33.38064516,42.78064516,49.21612903,57.90645161,67.03666667,75.0483871,73.07096774,62.86129032,49.52666667,37.01724138,27.95806452
CANYONLANDS_THE_NECK,29.76153846,35.08965517,44.56129032,51.13548387,61.33333333,73.58,79.40344828,76.77741935,68.3516129,54.10645161,40.8,29.85925926
DEER_CREEK_DAM,23.82903226,27.29,36.23225806,43.26,51.29354839,59.88,67.74482759,66.24482759,58.11724138,46.53,35.53448276,25.87333333
DESERET,27.8483871,33.78,43.29032258,49.53548387,58.66774194,68.79354839,76.42258065,74.42333333,64.19032258,50.38709677,37.7,27.53870968
ECHO_DAM,23.33870968,27.66774194,37.80645161,44.52258065,52.97419355,61.83870968,69.67741935,67.85806452,59.20645161,47.20645161,34.8,24.35666667
EPHRAIM,24.13103448,30.43,39.98,45.99333333,54.92413793,64.65666667,72.17419355,70.15,60.90322581,48.03870968,36.01935484,24.39
ESCALANTE,31.61290323,36.14333333,44.29677419,50.90322581,59.3483871,69.36451613,75.37666667,72.83870968,65.07096774,52.96451613,40.68387097,31.70645161
HANS_FLAT_RANGER_STATION,29.72903226,33.91935484,42.44333333,48.66451613,58.98709677,70.96129032,77.10322581,74.45483871,66.42903226,52.70322581,40.00645161,29.71290323
JENSEN,18.28064516,26.32333333,40.29032258,48.79310345,57.86785714,67.33333333,73.92903226,71.2483871,62.15483871,48.76129032,34.97666667,21.13548387
KAMAS,25.5,28.05666667,36.74,43.668,51.84285714,60.27692308,68.16071429,66.58275862,58.17666667,46.06129032,34.56129032,25.78518519
KANAB,36.97741935,40.35806452,47.18064516,53.26666667,61.54666667,71.21290323,77.01,75.14666667,68.30645161,56.43225806,45.08709677,36.40967742
MANTI,27.05806452,31.33225806,39.95483871,45.92666667,54.69354839,64.40322581,71.45,69.66129032,61.39677419,49.10322581,37.21612903,26.9483871
NEPHI,29.21935484,33.34333333,42.51333333,48.63,57.58666667,67.64137931,76.4862069,74.21290323,65.01290323,51.65483871,39.21290323,28.94516129
PROVO_BYU,32.58064516,37.23225806,46.34516129,52.57096774,61.49032258,71.23548387,78.83225806,76.79677419,67.6483871,54.53225806,42.22258065,32.89354839
RICHMOND,24.86333333,28.99677419,39.61612903,46.68965517,55.30322581,64.75172414,73.71935484,72.07,62.81666667,49.56774194,36.54666667,25.90645161
SALT_LAKE_CITY_INTERNATIONAL_AIRPORT,30.88387097,35.58709677,44.99354839,50.93548387,60.70322581,71.18064516,80.58709677,78.30967742,67.91612903,53.7483871,40.86451613,31.3483871
TOOELE,30.74516129,35.13225806,43.84516129,50.39655172,59.91724138,69.94516129,78.72903226,76.57096774,66.93548387,53,39.81666667,31.03666667
WANSHIP_DAM,25.21333333,28.6,37.53333333,44.30344828,52.60967742,61.51290323,69.37741935,67.4516129,59.05,46.98,35.06451613,25.95517241
WOODRUFF,16.06451613,18.96774194,30.99333333,39.83225806,48.57586207,57.04516129,64.29,62.3,53.57096774,41.69354839,29.06129032,17.78387097
ZION_NATIONAL_PARK,42.40645161,45.51612903,52.71935484,58.8,68.33548387,79.24666667,85.2516129,83.58709677,76.37586207,63.34482759,50.58709677,41.12258065
