,NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
6,ALTON,45.36666667,39.84,48.30909091,46.95,48.04166667,46.475,44.83333333,47.38333333,44.61,47.425,47.55,48.5,46.175,46.95833333,45.37272727,48.26666667,46.7,46.68333333,47.94545455,45.90833333,48.45833333,47.05833333,48.775,50.58181818,48.98333333,49.25,48.81666667,45.75833333,49.08333333,49.09166667,47.23333333
39,BLACK_ROCK,50.775,48.8,50.8,50.75,51.50833333,50.16666667,49.65833333,50.65833333,51.74166667,51.48333333,50.29166667,51.6,50.00833333,50.50833333,50.00833333,49.825,49.775,49.975,49.775,48.83333333,52.6,48.46666667,52.59166667,52.31666667,51.83333333,52.8,52.29166667,50.00833333,50.9,52.04166667,50.80833333
46,BLANDING,52.275,51.71666667,53.76666667,52.95833333,54.4,52.58333333,53.46666667,53.66666667,54.34166667,54.19166667,53.925,55.00833333,53.175,54.53636364,53.81666667,54.35833333,52.76666667,53.56666667,52.68333333,52.83333333,51.82,51.54166667,53.79166667,53.2,53.19166667,54.525,53.98333333,52.16363636,53.75,53.36666667,50.35
49,BLUFF,51.48181818,53.58333333,55.32727273,54.23333333,55.225,53.9,59.71,55.45,57.475,54.45555556,55.80909091,57.575,56.125,56.425,56.05,56.35,54.95,54.28181818,55,54.65,56.625,54.38333333,56.15,55.55833333,55.9,56.99166667,56.49166667,54.31666667,55.55,56.65,55.9
54,BOULDER,49.23333333,47.56363636,50.94166667,51.13333333,51.98333333,49.90833333,49.10833333,50.9,50.50833333,50.275,50.60833333,51,50.61818182,49.50909091,49.31818182,50.20909091,49.11666667,49.33333333,48.4,48.78333333,51.725,49.03333333,51.49166667,50.91666667,50.95,52.59166667,51.775,48.98333333,51.96666667,51.64166667,49.46363636
60,BOUNTIFUL_BENCH,52.95833333,48.95833333,53.41666667,52.64166667,52.34166667,51.475,51.89166667,51.80833333,52.45,52.6,51.05833333,53.475,51.3,51.95,52.28333333,52.4,50.35,50.125,50.55,49.95833333,54.28333333,50,53.275,53.90833333,52.9,52,52.425,50.25,52.49166667,53.3,52.13333333
85,CALLAO,49.73333333,50.14545455,53.56363636,50.98333333,51.36363636,50.54166667,51.69090909,50.48333333,52.04166667,51.70833333,49.93333333,52.75,50.54166667,50.525,48.44545455,50.45,49.1,48.475,48.71666667,47.93333333,52.30833333,47.55833333,50.96666667,51.35833333,50.59166667,50.475,50.4,48.69166667,50.4,50.59166667,49.50833333
88,CANYONLANDS_THE_NECK,51.56666667,51.55,55.65454545,56.43,56.82727273,52.325,52.975,53.4,54.675,54.55833333,53.43333333,55.14166667,52.875,54.10833333,53.59166667,54.51666667,50.51818182,47.6,53.42727273,52.075,56.05833333,53.07272727,54.675,58.09,54.775,56.15833333,57.71818182,55.00909091,57.15454545,60.95555556,55.93636364
143,DEER_CREEK_DAM,45.325,40.09090909,49.1,40.86,44.76666667,43.99,44.94166667,45.425,45,39.55555556,43.75833333,46.14166667,44.15833333,45.49166667,45.26666667,45.48333333,45.67,43.475,44.30833333,43.38333333,47.24166667,43.78333333,46.53333333,47.29166667,46.075,46.49166667,46.425,43.86666667,45.8,47.06666667,45.03333333
148,DESERET,48.61818182,47.39166667,53.1,49.68333333,50.24166667,52.29090909,50.225,51.53333333,52.575,52.225,50.7,53.90909091,50.50833333,51.63333333,50.7,50.55,50.14166667,50.00833333,50.68333333,49.5,52.64166667,48.2,52.2,52.95,52.20833333,52.6,52.2,50.53333333,51.93333333,51.775,51.05833333
