,NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
6,ALTON,59.46666667,53.8,63.77272727,62.25,63.275,60.95,58.85,63.03333333,58.85,62.73333333,63.35833333,63.90833333,60.91666667,61.675,62.41666667,64.35833333,62.61818182,62.21666667,62.71818182,60.81666667,63.70833333,61.66666667,63.38333333,64.57272727,63.33333333,64.24166667,64.08333333,60.29166667,64.66666667,64.25,61.79166667
39,BLACK_ROCK,67.95833333,65.525,67.875,68.53333333,69.325,66.70833333,65.91666667,68.61666667,68.4,68.44166667,68.25833333,69.025,65.475,66.41666667,66.70833333,67.55,66.75,66.76666667,65.49166667,65.45833333,70.275,65.625,69.75833333,69.6,68.925,69.95,69.275,66.69166667,70.13333333,69.56666667,68.325
46,BLANDING,65.30833333,64.74166667,67.38333333,67.38333333,68.24166667,65.70833333,66.66666667,67.23333333,66.96666667,67,67.275,67.8,65.76666667,66.91818182,67,67.475,65.525,66.375,64.81666667,65.59166667,64.42,62.975,65.26666667,64.13333333,64.425,66.275,65.53333333,63.2,65.8,65,61.77
49,BLUFF,66.5,69.21666667,71.55454545,70.975,71.81666667,69.525,75.34,72.33333333,72.41666667,70.1,72.89090909,73.4,71.175,71.99166667,71.91666667,72.03333333,70.50833333,69.93636364,70.01666667,70.16666667,72.56666667,69.61666667,71.85833333,70.3,71.375,73.25,72.475,69.25,72.39166667,72.44166667,71.63333333
54,BOULDER,61.15,59.59090909,62.90833333,63.775,65.04166667,61.94166667,60.9,63.875,64.28333333,63.33333333,64.25,63.08181818,61.83636364,60.21818182,60.36363636,61.42727273,60.59166667,60.75833333,58.81666667,59.93333333,62.90833333,59.86666667,62.55833333,61.43333333,61.75833333,64.025,62.78333333,59.25,63.51666667,62.825,60.77272727
60,BOUNTIFUL_BENCH,63.175,59.125,63.85833333,62.675,62.775,61.775,61.65833333,61.73333333,61.75833333,62.15,60.75833333,62.98333333,61.30833333,61.99166667,62.86666667,62.48333333,60.19166667,59.59166667,59.56666667,59.075,63.88333333,59.05,62.30833333,63.04166667,62.36666667,61.31666667,61.54166667,58.79166667,61.48333333,62.49166667,61.25
85,CALLAO,66.26666667,61.85,66.85833333,65.8,66.79090909,65.35833333,66,66.925,67.76666667,67.275,66.075,68.04166667,64.30833333,64.54166667,63.69090909,65.95833333,64.66666667,63.38333333,62.5,61.71666667,67.025,61.30833333,65.90833333,66.225,65.58333333,65.19166667,65.44166667,62.60833333,66.7,66.41666667,65.24166667
88,CANYONLANDS_THE_NECK,62.85833333,62.24166667,66.74545455,67.63,67.77272727,62.775,62.9,63.85833333,64.96666667,64.125,63.76666667,64.93333333,62.45833333,63.66666667,63.45,64.56666667,60.18181818,57.11111111,63.31818182,61.99166667,65.80833333,61.29166667,64.29166667,67.86,64.5,66.225,67.77272727,64.80909091,67.35454545,72.61111111,66.76363636
143,DEER_CREEK_DAM,61.28333333,54.6,61.10833333,60.39166667,59.65,58.45,58.39166667,60.5,59.28181818,56.78,59.18333333,60.65,58.41666667,59.525,59.81666667,60.81666667,61.01,57.70833333,58.64166667,57.55833333,62.63333333,58.54166667,61.43333333,61.775,60.875,61.075,61.36666667,58.24166667,61.41666667,62.09166667,60.3
148,DESERET,65.75454545,64.7,72.04545455,69.69166667,69.85,69.52727273,66.675,68.03333333,67.66666667,67.80833333,67.45,70.31818182,65.41666667,66.86666667,66.50833333,67.025,66.35,66.35833333,65.575,64.725,68.90833333,63.35833333,68.425,69.21666667,67.7,68.50833333,67.86666667,66.025,70.08333333,68.54166667,67.875
