,NAME,1,2,3,4,5,6,7,8,9,10,11,12
6,ALTON,17.78666667,19.09677419,24.30967742,28.95806452,35.08709677,43.17096774,51.28666667,50.2137931,43.19333333,33.30967742,24.04482759,17.58333333
39,BLACK_ROCK,16.46129032,20.43225806,26.46451613,31.41935484,38.92903226,47.24516129,55.61290323,53.7483871,43.80645161,32.1,22.38064516,15.5516129
46,BLANDING,22.31935484,25.87741935,32.22580645,37.52,46.13666667,56.10322581,62.20322581,60.35333333,52.91724138,41.46129032,30.61333333,22.69677419
49,BLUFF,19.27333333,24.48666667,31.43870968,38.62666667,47.26333333,55.73333333,63.79032258,61.93548387,51.85483871,38.19666667,25.97419355,19.38064516
54,BOULDER,20.5,23.40645161,29.89677419,35.09677419,43.50344828,53.45,60.43548387,58.67419355,51.58666667,39.51290323,28.58666667,20.46451613
60,BOUNTIFUL_BENCH,22.7516129,26.08064516,33.6516129,38.79677419,47.91290323,57.18709677,66.29354839,64.24193548,54.80967742,42.17741935,31.03548387,23.27419355
85,CALLAO,15.68,20.72258065,28.13548387,34.21612903,42.62580645,50.41,58.36774194,56.11612903,45.21935484,33.05666667,22.66551724,15.71935484
88,CANYONLANDS_THE_NECK,22.25,26.78965517,34.52580645,39.87419355,49.88333333,61.73,67.6137931,65.5,57.18709677,43.6516129,32.30357143,22.48888889
143,DEER_CREEK_DAM,12.52580645,15.22666667,22.82903226,29.10333333,35.97419355,42.28,49.21724138,48.18275862,40.32068966,30.64,22.41034483,15.24
148,DESERET,16.0516129,20.61,27.20967742,32.39032258,40.58387097,49.18064516,57.07741935,55.65666667,45.16774194,32.97741935,22.94827586,15.46129032
163,ECHO_DAM,11.98709677,15.66774194,24.37741935,30.28387097,37.41612903,43.7,50.88387097,49.18064516,40.51612903,30.72580645,21.89354839,13.88333333
175,EPHRAIM,11.74482759,18.24,25.98,30.80333333,38.11034483,45.35666667,52.68709677,51.03214286,41.77741935,30.54193548,21.15806452,12.07666667
176,ESCALANTE,18.77419355,23.10666667,29.23225806,34.8,41.86129032,50.18387097,57.35666667,55.4516129,47.49677419,36.79354839,26.25806452,19.0483871
221,HANS_FLAT_RANGER_STATION,22.71290323,26.17419355,33.41,38.3516129,48.5516129,59.93548387,65.92580645,63.80645161,56.29032258,43.35806452,32.01290323,22.73548387
270,JENSEN,5.490322581,12.48666667,24.1483871,31.99310345,40.46428571,48.26333333,54.7483871,52.25483871,43.18709677,31.61612903,20.42666667,9.041935484
275,KAMAS,14.2516129,16.13666667,23.99333333,29.528,35.86428571,42.51111111,49.54827586,48.36206897,40.34516129,30.90322581,22.27419355,15.02962963
276,KANAB,24.57419355,27.14516129,32.15806452,37.17333333,44.41666667,52.68387097,60.05,59.02333333,51.89032258,40.71290323,31.06129032,24.54193548
342,MANTI,17.10967742,20.88064516,27.63225806,32.72666667,40.54193548,48.83548387,56.09666667,54.53225806,45.99677419,34.9,25.10967742,17.17419355
401,NEPHI,19.45483871,22.94666667,29.69333333,34.97333333,43.23333333,51.95862069,61.02666667,59.42258065,50.05806452,37.87096774,27.46129032,19.37096774
471,PROVO_BYU,23.80645161,27.21612903,34.32258065,39.51935484,47.30645161,55.07096774,62.43225806,60.94516129,52.09354839,40.83225806,31.41290323,24.39354839
482,RICHMOND,16.89333333,19.90645161,28.50645161,33.98965517,41.21612903,48.59655172,56.21612903,55.03666667,46.56,36.19354839,26.26,17.88387097
509,SALT_LAKE_CITY_INTERNATIONAL_AIRPORT,23,26.92258065,34.8,40.06774194,48.85806452,57.90967742,67.10645161,65.13225806,55.0483871,42.18387097,31.22903226,23.7483871
596,TOOELE,21.51612903,25.23225806,32.62258065,38.25806452,46.94193548,56.28064516,64.67419355,62.63225806,53.38387097,40.93548387,29.78064516,22.04
630,WANSHIP_DAM,13.36666667,16.43333333,24.33,29.83448276,36.38387097,42.54193548,49.68064516,47.83225806,40.02,30.65,21.75483871,14.79655172
652,WOODRUFF,3.567741935,6.209677419,17.56333333,24.35483871,32.19655172,39.14193548,44.95333333,42.63225806,33.89032258,24.41290323,14.88064516,5.574193548
656,ZION_NATIONAL_PARK,30.07096774,32.83225806,38.37741935,43.51612903,52.22258065,62.26333333,69.37096774,68.39677419,61.15,48.24827586,36.71290323,29.07096774
