,NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
6,"ALTON, UT US",31.26666667,25.84,32.82727273,31.65,32.80833333,32,30.8,31.73333333,31.6,32.075,31.75,33.075,31.44166667,32.24166667,30.25454545,32.19166667,30.74545455,31.18333333,33.17272727,30.99166667,33.175,32.45,34.14166667,36.60909091,34.65833333,34.26666667,33.53333333,31.26666667,33.49166667,33.95,32.625
39,"BLACK ROCK, UT US",33.63333333,32.09166667,33.75,32.96666667,33.70833333,33.59166667,33.40833333,32.725,35.1,34.5,32.33333333,34.175,34.54166667,34.6,33.325,32.1,32.825,33.15,34.05833333,32.24166667,34.94166667,31.29166667,35.43333333,35.01666667,34.75833333,35.64166667,35.34166667,33.35,31.65833333,34.5,33.3
46,"BLANDING, UT US",39.21666667,38.70833333,40.13333333,38.50833333,40.55,39.41666667,40.25833333,40.11666667,41.725,41.375,40.59166667,42.24166667,40.59166667,42.14545455,40.65,41.23333333,40.025,40.76666667,40.55,40.05,39.24,40.15,42.325,42.275,41.93333333,42.78333333,42.45833333,41.14545455,41.70833333,41.73333333,38.93
49,"BLUFF, UT US",36.43636364,37.925,39.07272727,37.50833333,38.60833333,38.275,44.09,38.55,42.53333333,40.99166667,38.73636364,41.76666667,41.05,40.875,40.175,40.675,39.39166667,38.61818182,39.975,39.15,40.7,39.13333333,40.425,40.81666667,40.425,40.71666667,40.51666667,39.4,38.69166667,40.80833333,40.13333333
54,"BOULDER, UT US",37.31666667,35.52727273,38.96666667,38.49166667,38.91666667,37.925,37.275,37.93333333,36.73333333,37.225,36.96666667,39.41666667,39.38181818,39.25,38.26363636,39.05454545,37.58333333,37.90833333,37.975,37.63333333,40.59166667,38.18333333,40.41666667,40.40833333,40.13333333,41.14166667,40.75833333,38.71666667,40.36666667,40.425,38.13636364
60,"BOUNTIFUL BENCH, UT US",42.725,38.8,42.95,42.6,41.89166667,41.19166667,42.14166667,41.9,43.15833333,43.01666667,41.36666667,43.94166667,41.28333333,41.89166667,41.675,42.33333333,40.5,40.64166667,41.51666667,40.85,44.725,40.975,44.25,44.81666667,43.425,42.66666667,43.325,41.7,43.48333333,44.13333333,43.00833333
85,"CALLAO, UT US",33.23333333,35.46363636,38.31818182,36.15,35.95454545,35.70833333,37.40909091,34.01666667,36.34166667,36.14166667,33.8,37.45833333,36.73333333,36.48333333,33.2,34.925,33.49166667,33.575,34.90833333,34.125,37.65,33.81666667,36.04166667,36.525,35.60833333,35.76666667,35.35,34.75,34.10833333,34.75833333,33.75833333
88,"CANYONLANDS THE NECK, UT US",40.26666667,40.83333333,44.59090909,45.25,45.89090909,41.89166667,43.06666667,42.925,44.35833333,45,43.1,45.35833333,43.325,44.55,43.74166667,44.45833333,40.85454545,38.08888889,42.35,42.15833333,46.33333333,43.61818182,45.05,48.33,45.04166667,46.08333333,47.66363636,45.18181818,46.95454545,49.31111111,45.07272727
143,"DEER CREEK DAM, UT US",29.36666667,25.58181818,32.27,26.03,29.89166667,29.52,31.475,30.35,30.68181818,25.71111111,28.29166667,31.65,29.925,31.45,30.71666667,30.15833333,30.34,29.23333333,30.00833333,29.19166667,31.84166667,29.025,31.64166667,32.8,31.26666667,31.86666667,31.5,29.5,30.175,32.05833333,29.76666667
148,"DESERET, UT US",31.46363636,30.09166667,34.19090909,29.69166667,30.60833333,35.04545455,33.775,35.025,37.475,36.60833333,33.96666667,37.48181818,35.61666667,36.425,34.875,34.06666667,33.91666667,33.65833333,35.79166667,34.28333333,36.38333333,33.06666667,35.975,36.7,36.70833333,36.68333333,36.525,35.05833333,33.79166667,35.05,34.23333333
